outlet,aperol,alcoholism
subjugated,quash,keep down
subjugated,reduce,subjugate
sublimated,sublime,sublimate
subscribed,sign,subscribe
substantiative,substantiating,validating
suckled,suckle,suck
suckled,lactate,give suck
suffering,ache,suffer
suited,befit,suit
sunk,bury,sink
sunken,sink,drop
supervised,oversee,supervise
supported,abide,suffer
surface,open,airfoil
surplus,surplusage,nimiety
surrounding,hem in,circumvent
surrounding,palisade,fence
suspected,distrust,mistrust
sustained,have,get
svelte,lissom,lithe
svelte,sylphlike,slender
sweet-smelling,odorous,perfumed
swell,peachy,slap-up
syncretical,syncretistic,syncretistical
syncretistic,syncretistical,syncretic
tacky,flash,flashy
taken,lead,take
taken,take aim,direct
taken,take,carry
taken,take,hold
taking,guide,take
taking,film,shoot
taking,take,claim
taking,take,carry
tall,marvelous,marvellous
tamed,domesticise,reclaim
tantalizing,cod,tantalize
tapped,tap,solicit
tattling,palaver,prate
tatty,moth-eaten,ratty
teased,tease,tease apart
teasing,pestiferous,plaguy
tedious,long-winded,verbose
teensy,teeny,wee
telling,state,say
telling,say,tell
telling,severalise,tell
telltale,talebearer,blabbermouth
ternary,triad,trine
ternary,trine,trinity
terrible,dreadful,painful
textbook,text,text edition
thick,stocky,thickset
thinking,remember,retrieve
three-fold,dual,twofold
thrown,project,cast
tight-laced,prissy,prudish
tiring,fatigue,run down
toothsome,delectable,delicious
toothsome,pleasant-tasting,scrumptious
tormented,torment,rag
torn,lacerated,mangled
total,tot,tot up
touched,advert,touch
touching,concern,come to
touching,bear upon,bear on
tough,rugged,sturdy
toughened,treated,hardened
tracked,trail,tail
trained,educate,train
transferrable,assignable,conveyable
transferrable,conveyable,negotiable
transfixed,grip,spellbind
transmitted,communicate,impart
transmitted,transmit,convey
transposed,transpose,interchange
treated,handle,do by
tree-shaped,arboriform,dendriform
tree-shaped,dendriform,dendroid
trespassing,intrude,trespass
tried,stress,try
tried,tested,time-tested
trimmed,cut,bring down
trite,timeworn,tired
troubling,perturb,unhinge
troubling,disturbing,perturbing
true,avowedly,confessedly
truncated,abbreviated,shortened
trusted,trust,desire
trusting,believe,trust
trying,assay,test
trying,prove,try
trying,taste,hear
trying,try,render
trying,nerve-racking,nerve-wracking
tubelike,tubular,cannular
tumid,large,orotund
turbid,mirky,murky
turbinate,volute,voluted
turbulent,roiled,roily
turned,grow,turn
turned,turn over,turn
twenty-two,22,xxii
twinkling,twinkle,winkle
twisted,twist,wind
twisted,sophisticate,twist
twisting,twist,wrench
two-fold,dual,twofold
twopenny-halfpenny,tuppeny,two-a-penny
unattired,unappareled,unclad
unbalanced,mad,sick
unbecoming,indecorous,uncomely
unbecoming,unseemly,untoward
unbelievable,improbable,unconvincing
unceasing,never-ending,perpetual
unchewable,fibrous,sinewy
unclothed,undress,discase
underdressed,dress down,underdress
understanding,realise,see
understanding,read,interpret
underweight,skinny,weedy
undone,undo,untie
unglamorous,prosaic,unglamourous
unhinged,disquiet,trouble
unknown,stranger,alien
unlimited,straight-out,inexhaustible
unnumberable,numberless,uncounted
unnumerable,unnumberable,unnumbered
unprocurable,inaccessible,unobtainable
unprogressive,fusty,standpat
unprogressive,standpat,nonprogressive
unregenerate,stubborn,obstinate
unruffled,quiet,still
unsaid,unstated,unuttered
unsettled,enervate,unsettle
unsexed,unsex,desexualize
unsophisticated,hick,rustic
unsynchronised,nonsynchronous,unsynchronized
unsynchronized,unsynchronised,unsynchronous
unutterable,unspeakable,untellable
unvarying,constant,invariant
unvoiced,unstated,unuttered
upright,unsloped,good
upset,discomfit,disturb
used,use,habituate
uttered,verbalized,verbalised
vain,self-conceited,swollen
vaporizable,vaporific,vapourific
variegated,vary,variegate
vented,ventilate,give vent
verificatory,corroborative,corroboratory
vexatious,pestiferous,plaguy
vexatious,plaguey,teasing
vexed,harassed,harried
vexing,nark,nettle
vexing,pestering,pestiferous
victimized,swindle,rook
victimized,put-upon,used
victimized,used,victimised
violated,profane,outrage
virile,male,manful
visualized,image,visualize
vitriolic,acerb,acerbic
volatilisable,vaporizable,vapourisable
voluted,helical,spiral
vulcanized,vulcanise,vulcanize
wacky,goofy,sappy
wacky,barmy,bats
walloping,humongous,banging
wanted,desire,want
wary,leery,mistrustful
waste,emaciate,macerate
watered,water,irrigate
wavering,quiver,waver
weaned,ablactate,wean
weary,tire,wear upon
wearying,pall,weary
well-off,well-heeled,well-situated
well-worn,banal,commonplace
whacking,whack,wham
wheeled,wheel,roll
whole,unharmed,unhurt
whopping,whap,bonk
wide,broad,encompassing
wiggly,sinuate,sinuous
wild,unfounded,unwarranted
wild,raving mad,hazardous
winding,tortuous,twisting
winking,winkle,blink
wired,telegraph,wire
wired,electrify,wire
witless,nitwitted,senseless
wizard,star,superstar
wizard,magical,sorcerous
wonderful,grand,howling
wondering,question,wonder
wonky,cockeyed,lopsided
wooden-headed,thickheaded,thick-skulled
workable,executable,practicable
working-class,blue-collar,wage-earning
world,humanity,humankind
world-wide,general,universal
worn,tire out,wear
worrisome,disturbing,perturbing
worse,bad,forged
worst,spoiled,spoilt
wrapped,wrap,enclose
wrapped,enwrapped,intent
wretched,miserable,suffering
wrong,untimely,faulty
wrought,do work,work
xiii,baker's dozen,long dozen
xiv,14,xiv
xvi,sixteen,16
xxii,twenty-two,22
yielding,cede,grant
zany,whacky,buffoonish
zippy,rattling,snappy
almost,nearly,near
altogether,totally,all
altogether,whole,all told
annually,p.a.,per year
anyhow,at any rate,in any event
atrociously,abysmally,rottenly
closer,near,penny-pinching
closest,near,penny-pinching
commonly,unremarkably,ordinarily
contrarily,to the contrary,contrariwise
curiously,oddly,peculiarly
deucedly,insanely,deadly
disregarding,discount,push aside
disregarding,ignore,disregard
eastwards,due east,eastward
etc.,and so forth,and so on
faster,fast,firm
fastest,firm,immobile
forthwith,at once,like a shot
happily,mirthfully,gayly
inescapably,inevitably,unavoidably
leastwise,at least,leastways
loosely,broadly speaking,generally
manifestly,apparently,plainly
mirthfully,gayly,blithely
moderately,jolly,somewhat
namely,that is to say,to wit
nor'-west,northwest,northwestward
nothing,goose egg,naught
obdurately,obstinately,cussedly
occasionally,once in a while,now and then
offhandedly,offhanded,offhand
originally,in the beginning,to begin with
plunk,clunk,plank
plunk,dive,plunge
possibly,mayhap,peradventure
quickest,quick,speedy
severely,seriously,sternly
shamefully,ingloriously,ignominiously
singly,severally,one by one
slap,smack,bolt
smack,nose drops,thunder
smartly,modishly,sprucely
smash,smash-up,overhead
smash,bang up,smash up
somewhat,middling,passably
southwards,due south,southward
tardily,slowly,slow
terrifically,toppingly,marvellously
topsy-turvily,head over heels,heels over head
totally,altogether,whole
unendingly,unceasingly,continuously
upwards,upward,upwardly
videlicet,namely,viz.
wondrously,superbly,toppingly
aberrance,aberration,deviance
aberration,aberrancy,deviance
accelerator,catalyst,particle accelerator
accent,emphasis,accent mark
acclamation,acclaim,plaudits
account,story,report
accused,impeach,incriminate
action,activity,activeness
adenosis,gland disease,glandular disorder
adhesion,attachment,adherence
adiposis,corpulence,overweight
adulteress,fornicatress,hussy
aerofoil,airfoil,control surface
affiliate,consort,associate
agenda,agendum,order of business
airfield,flying field,field
airs,air out,air
alehoof,ground ivy,field balm
alienation,disaffection,estrangement
allegiance,dedication,fealty
allotment,allocation,apportionment
amount,add up,come
analysis,analytic thinking,psychoanalysis
anatomy,human body,physical body
aniline,aminobenzine,phenylamine
animation,invigoration,liveliness
anorak,windbreaker,windcheater
answer,reply,response
antecedency,anteriority,precedence
antechamber,lobby,vestibule
apathy,numbness,spiritlessness
aper,copycat,imitator
appeal,prayer,appealingness
appeal,solicitation,collection
appearance,appearing,coming into court
apprehension,arrest,catch
aqua,turquoise,cobalt blue
arbiter,supreme authority,arbitrator
argument,argumentation,logical argument
arms,weapon,arm
arms,fortify,gird
arrest,pinch,taking into custody
arse,butt,backside
arse,can,fundament
arse,keister,posterior
arts,artistic production,art
arts,art,graphics
ascendence,ascendency,control
asepsis,sterility,sterileness
ass-kisser,toady,crawler
assay,try,seek
assigning,assign,allot
assigning,specify,set apart
assuredness,cool,poise
ate,eat,deplete
athletics,sport,athletic contest
attack,flack,blast
attack,assault,set on
attire,trick up,deck out
audad,barbary sheep,maned sheep
aureole,aura,halo
authentication,assay-mark,certification
authority,confidence,self-confidence
authorization,authorisation,authority
automaker,carmaker,auto manufacturer
avariciousness,covetousness,cupidity
avaritia,greed,covetousness
avoidance,turning away,shunning
babble,blather,smatter
babbler,magpie,spouter
babbling,spill the beans,let the cat out of the bag
baby,cocker,coddle
backing,financial support,funding
backside,buttocks,nates
backside,derriere,fanny
ballista,arbalest,arbalist
ballyhoo,hoopla,hype
barbital,veronal,barbitone
barf,regorge,retch
barnstormer,trouper,stunt flier
barrack,cheer,root on
barrage,bombardment,outpouring
bars,cake,bar
baste,basting,basting stitch
basting,batter,baste
battercake,pancake,flannel cake
bawdyhouse,bordello,bagnio
beating,beat,pound
beating,baffle,beat
beats,beat,flap
beats,quiver,beat
bedbug,bed bug,chinch
bedding,have a go at it,bang
beefwood,manilkara bidentata,scrub beefwood
begging,pray,solicit
being,constitute,represent
beleaguering,siege,besieging
beleaguering,pester,bug
believing,think,believe
belly,abdomen,venter
bellyache,stomach ache,gastralgia
belt,smash,swath
bends,bend,curve
berbers,arab-berbers,berber
berth,billet,place
berth,tie up,moor
betise,foolishness,imbecility
betrayal,treason,perfidy
bewilderment,puzzlement,befuddlement
bidding,summons,bid
bigarade,marmalade orange,citrus aurantium
bike,motorcycle,bicycle
bike,cycle,pedal
bine,european hop,humulus lupulus
binge,glut,englut
blabbermouth,talebearer,telltale
blackbird,merle,ouzel
blarney,soft soap,sweet talk
blastodisc,germinal disc,germinal area
blazer,sport coat,sports jacket
blazon,coat of arms,arms
blend,portmanteau,blending
blockhead,dunderhead,numskull
blocking,stuff,lug
bloke,lad,gent
blooper,botch,boner
blowfish,pufferfish,puffer
blowing,ball up,spoil
bluebottle,bachelor's button,centaurea cyanus
blur,smutch,blear
blurriness,softness,fogginess
board,dining table,control panel
boards,board,room
boasting,gas,blow
bomb,bomb calorimeter,turkey
bomber,wedge,zep
bones,ivory,pearl
boob,dumbbell,dummy
boodle,bread,cabbage
boodle,sugar,wampum
boom,nail,blast
bootlicker,groveller,groveler
bosh,tarradiddle,tommyrot
bother,discommode,incommode
bounce,bounciness,leap
boxers,packer,bagger
braces,stabilize,stabilise
braiding,braid,pleach
branch,ramification,outgrowth
branding,mark,brand
break,separate,split up
break,break out,break away
breaking,break out,break away
briar,sweetbrier,sweetbriar
bricole,arbalest,arbalist
brightness,luminousness,light
bristliness,spininess,thorniness
bromide,banality,commonplace
browse,surf,graze
brusqueness,curtness,gruffness
buckbean,marsh trefoil,menyanthes trifoliata
buffoon,clown,goof
bugaboo,boogeyman,booger
build,body-build,habitus
build,habitus,human body
bulb,lightbulb,incandescent lamp
bunco,bunko,bunko game
bunco,diddle,defraud
bungle,foul up,mess up
buns,nates,arse
buns,tail end,tooshie
burying,lay to rest,bury
bye-bye,adieu,adios
calumniation,calumny,obloquy
calumny,slander,defamation
camachile,huamachil,wild tamarind
camping,tent,camp
capacitance,capacitor,condenser
capsule,abridgement,abridgment
carageen,irish moss,carrageen
carbon,carbon paper,carbon copy
carriage,rig,bearing
cast,cat,be sick
cast,be sick,disgorge
cast,disgorge,regorge
casting,mould,shed
castrate,bowdlerize,bowdlerise
catch,take in,trip up
cathouse,bagnio,house of prostitution
caul,veil,embryonic membrane
causing,make,induce
cephalexin,keflin,keftab
certification,credentials,authentication
chador,chadar,chaddar
chafe,fret,annoy
chains,mountain range,range of mountains
chains,chain of mountains,chain
challenger,competition,contender
chanfron,chamfron,testiere
charter,rent,hire
chased,dog,go after
chasteness,chastise,castigate
chatter,chit-chat,chaffer
chattering,chatter,click
chattering,chat,confabulate
check,stoppage,confirmation
checker,check,chequer
chest,bureau,dresser
chickweed,mouse eared chickweed,mouse ear
childbed,parturiency,labor
chiliad,m,k
chiromancy,palm reading,chirology
chitchat,chatter,chaffer
choke,foul,suffocate
choke,give-up the ghost,drop dead
choking,choke off,clog up
choking,die,decease
choking,drop dead,pop off
choking,croak,snuff it
churl,tike,niggard
churl,crank,crosspatch
circumcision,circumcision,feast of the circumcision
circumstances,context,circumstance
cither,zither,zithern
cithern,cittern,cither
clamber,scramble,shin
clamoring,clamour,clamouring
clang,clank,clash
clap,bam,gonorrhea
clap,gonorrhoea,clack
claptrap,rant,blah
classmate,schoolmate,schoolfellow
claxon,blare,beep
cleaning,clean,cleanse
clearing,take in,clear
clearing,clear,make
clearing,pull in,bring in
click,clink,suction stop
click,snap,flick
client,customer,node
clink,tinkle,tink
clipping,nip,nip off
clop,clopping,clunking
clump,clop,clunk
clumping,plunk,cluster
clutch,hold,batch
clutches,clasp,clench
clutches,clutch,get hold of
coarseness,nubbiness,tweediness
cockspur,dactylis glomerata,pisonia aculeata
cocotte,whore,harlot
coding,encrypt,inscribe
coding,take in,put one over
coding,rag,cod
coherency,coherence,cohesion
coif,coiffe,coiffure
coitus,sex act,copulation
collaborator,quisling,cooperator
coloring,food colour,color
coloring,distort,color
colors,colour in,tinge
colours,people of color,people of colour
comedy,clowning,funniness
commission,committal,mission
commotion,disruption,flutter
communications,communication,communicating
commuting,commute,permute
compounding,compound,combine
compress,pack together,constrict
comradeliness,chumminess,camaraderie
conceding,concede,yield
concern,bear on,touch
conciliator,pacifier,peacemaker
condemnation,execration,curse
condenser,capacitance,electrical condenser
condescension,patronage,condescendingness
condition,precondition,stipulation
conditioning,specify,condition
conduct,transmit,convey
confab,chat,confabulate
confab,confabulate,consult
conferral,bestowment,conferment
conjugation,coupling,mating
conjuration,magic trick,conjuring trick
conk,drop dead,pop off
consciousness,cognisance,knowingness
consequence,outcome,result
conserves,conserve,preserve
consideration,circumstance,condition
consignment,payload,shipment
consort,associate,affiliate
conspirator,coconspirator,plotter
conspirator,plotter,machinator
constipation,irregularity,stultification
constitution,formation,organization
construction,structure,twist
contact,middleman,liaison
contemplation,reflexion,rumination
contemporaries,generation,contemporary
contents,table of contents,content
contract,squeeze,compact
contract,take,get
contracting,squeeze,compact
control,mastery,controller
controversy,contention,contestation
convenience,public convenience,public lavatory
conveniences,convenience,gadget
convert,commute,win over
convert,win over,convince
conveying,conveyance of title,conveyancing
conveying,bring,get
conviviality,joviality,merrymaking
convolution,vortex,gyrus
convulsion,turmoil,upheaval
cookhouse,ship's galley,caboose
cooling,cool down,cool
cooling,cool,chill
copying,replicate,copy
coquette,flirt,dally
coral-wood,red sandalwood,barbados pride
correlation,correlation coefficient,coefficient of correlation
correspondence,commensurateness,proportionateness
corruption,rottenness,degeneracy
costs,monetary value,price
costs,price,cost
counterbalance,oppose,counteract
counterbalance,counteract,countervail
countermand,lift,reverse
countermine,undermine,counteract
countersign,word,parole
counterweight,counterbalance,counterpoise
counting,matter,weigh
cover,handle,plow
covering,cross,pass over
covering,cover,cover up
covering,cover,insure
cowherd,cowman,cattleman
cowshed,cowhouse,byre
crabs,grouse,crab
crackerberry,pudding berry,cornus canadensis
crap,irish bull,horseshit
crap,defecate,shit
crapper,toilet,can
craps,crap,dirt
craving,thirst,starve
crawfish,pull back,back out
crawl,cower,grovel
crawling,crawl,creep
crepuscle,nightfall,evenfall
crimper,crimp,curler
crinkle,seam,line
crop,range,pasture
crossing,crossroad,crossway
crossing,hybridize,hybridise
crosspatch,grump,crank
crouch,scrunch up,hunker
crudity,crudeness,gaucheness
crumb,skunk,stinker
crunch,mash,bray
crush,calf love,infatuation
crystallizing,crystallise,crystalize
cucumber,cucumis sativus,cuke
curio,oddity,oddment
curl,coil,loop
curler,roller,crimper
curse,condemnation,hex
curve,bender,curvature
curve,curvature,bend
curve,twist,arch
cuss,lad,gent
cypher,cipher,cryptograph
dagga,red dagga,wilde dagga
damages,price,terms
dashboard,splasher,fascia
dasheen,cocoyam,edda
dawning,sunrise,sunup
daze,fog,haze
dealing,distribute,administer
deathwatch,booklouse,book louse
debauch,deprave,misdirect
debauchery,bacchanal,bacchanalia
debility,frailness,valetudinarianism
decameter,dekametre,dam
deception,trick,magic
declaration,announcement,proclamation
declination,celestial latitude,dec
declivity,declension,downslope
deepness,profundity,profoundness
defile,tarnish,stain
dekametre,dam,dkm
delegation,delegating,relegating
deliberateness,slowness,deliberation
delicacy,dainty,goody
demolishing,leveling,tearing down
demolishing,pulverise,crush
depersonalization,depersonalisation,depersonalization disorder
depicting,depict,render
depreciator,detractor,disparager
depth,profoundness,deepness
deputation,delegation,relegating
deserter,ratter,defector
deserts,abandon,forsake
design,purpose,intent
despicableness,sordidness,contemptibility
despoilment,despoilation,despoliation
despondency,heartsickness,disconsolateness
details,detail,particular
detecting,detect,observe
devilry,mischief,mischief-making
devising,excogitate,formulate
dhak,palas,butea frondosa
diffusion,dispersion,dispersal
dig,excavation,archeological site
dig,prod,stab
digs,shot,shaft
digs,excavation,digging
dippers,water ouzel,dipper
dirham,united arab emirate dirham,moroccan dirham
disbelief,skepticism,mental rejection
disconnectedness,disjunction,disjuncture
discovery,breakthrough,find
disgrace,degrade,demean
disgrace,demean,put down
dismantling,raze,rase
disruption,kerfuffle,dislocation
dissipation,dissolution,licentiousness
dissolver,solvent,dissolvent
dissolver,dissolving agent,resolvent
disturbance,fray,ruffle
djinn,djinni,djinny
djinn,jinni,jinnee
dock-walloper,dockworker,lumper
doctrine,school of thought,ism
dogtooth,canine tooth,eyetooth
doings,perform,do
doings,make,act
dome,domed stadium,covered stadium
dominoes,half mask,eye mask
dope,dumbbell,dummy
dose,dosage,venereal disease
doubles,double,duplicate
doura,dourah,egyptian corn
downfall,ruin,ruination
dozens,scads,lashings
draft,selective service,gulp
draw,describe,depict
drawing,pull,pull out
drenching,swamp,drench
drenching,dowse,soak
drier,dry,ironic
drink,toast,pledge
drinking,wassail,drink in
drive,labour,push
drove,repulse,force back
drudge,navvy,galley slave
druggist,pharmacist,chemist
duad,duet,dyad
duet,duo,couple
dumps,dump,knock down
dwelling,home,domicile
earnestness,seriousness,sincerity
earnestness,sincerity,seriousness
earthworm,fishworm,fishing worm
eating,eat on,consume
eats,eat,rust
ebb,wane,reflux
ectoparasite,ectozoon,epizoan
edict,fiat,order
egotism,swelled head,ego
egotism,ego,self-importance
eighties,1980s,mid-eighties
elaboration,elaborateness,intricacy
elan,zeal,dash
eld,geezerhood,age
electrophoresis,dielectrolysis,ionophoresis
elements,element,factor
elevation,altitude,alt
elk,european elk,moose
eluding,hedge,fudge
elves,elf,hob
embossment,relievo,rilievo
embroideress,embroider,broider
emptiness,void,vacancy
encounter,receive,meet
encounter,meet,play
encyclopaedism,learning,scholarship
end,finish,terminate
engagement,betrothal,troth
enigma,riddle,conundrum
enlisting,draft,muster in
entering,move into,enter
enthronement,coronation,enthronization
entree,entrance,entranceway
envoy,emissary,envoi
epinephrin,epinephrine,adrenaline
equivalence,equality,equation
eructation,extravasation,belch
eruption,bang,clap
escutcheon,finger plate,scutcheon
estimate,count on,figure
estimate,figure,forecast
esurience,voraciousness,edacity
eudaemonia,wellbeing,well-being
eudaemonia,upbeat,eudaimonia
evaporation,vaporization,vaporisation
exaltation,raptus,deification
example,exemplar,model
excrement,excreta,excretory product
excreting,excretion,voiding
excursus,aside,divagation
excuse,beg off,condone
extension,university extension,filename extension
externalization,externalisation,exteriorization
extolment,praise,congratulations
extractor,cartridge extractor,cartridge remover
extravagance,lavishness,highlife
extrusion,gibbosity,gibbousness
eyelet,grommet,grummet
eyes,heart,eye
fable,fiction,parable
face,look,aspect
facelift,nip and tuck,face lift
fairness,candor,candour
fairy,queen,queer
faqir,fakeer,faquir
fastening,holdfast,fixing
fastness,fixedness,fixity
fate,destine,doom
fathead,goof,goofball
fatigues,fag,fatigue
feasting,banquet,junket
feather,plumage,feathering
featherbed,pamper,cosset
feature,feature article,feature of speech
feeling,tone,feel
feeling,smell,touch
feeling,sense,feel
feelings,feeling,touch
feelings,feel,finger
feigning,pretend,affect
fencing,fence,fence in
fervidness,fervency,fire
fetch,bring,get
fetish,juju,voodoo
fetor,malodor,malodour
fibre,fiber,vulcanized fiber
fight,push,agitate
figure,shape,bod
figure,calculate,cipher
figuring,project,fancy
fill,take,occupy
filling,fill up,make full
finances,cash in hand,pecuniary resource
finding,find,recover
findings,find,regain
finger,fingerbreadth,finger's breadth
fingerflower,finger-flower,fingerroot
firebrand,inciter,instigant
fives,phoebe,little phoebe
fix,muddle,pickle
fix,touch on,fasten
fixing,specify,set
fixing,unsex,desexualize
fixing,posit,deposit
flare,flare up,break open
flavorer,seasoner,seasoning
flesh,physical body,material body
flesh,frame,form
flick,moving-picture show,motion picture
flier,flyer,aviator
flip-flop,change of mind,turnabout
flirt,mash,dally
flirt,toy,play
flock,pot,quite a little
flock,constellate,clump
flooding,flood,inundate
flub,bumble,fumble
flutter,commotion,hurly burly
flutter,dart,flicker
fluttering,bat,flutter
focusing,concenter,concentre
folacin,folic acid,pteroylglutamic acid
fold,flexure,crimp
folks,kinfolk,kinsfolk
follies,foolishness,unwiseness
force,draw,storm
force-out,force out,force play
forecast,figure,bode
foretelling,prognosticate,omen
forfeiture,forfeit,sacrifice
forge,fake,counterfeit
forging,forge,fake
forgoing,forego,forgo
forgoing,antedate,forfeit
form,phase,class
form,shape,work
formation,shaping,constitution
formula,convention,normal
formula,normal,pattern
fossa,fossa cat,cryptoprocta ferox
foundation,grounding,basis
foundation,origination,creation
foursome,quartet,quadruplet
fragility,frangibility,delicacy
freeing,free,release
freeing,free,release
freeway,state highway,superhighway
frequency,relative frequency,absolute frequency
fresher,fresh,impertinent
fret,gag,rub
frigidness,coldness,coolness
frisking,disport,sport
fuck,have intercourse,have it away
fuckup,bumbler,stumbler
fuzz,hair,tomentum
fuzz,tomentum,bull
fuzziness,softness,blurriness
gaffer,foreman,chief
gain,pull ahead,make headway
gallfly,cynipid gall wasp,gall midge
gallimaufry,odds and ends,oddments
gamecock,fighting cock,hell-kite
gameness,lameness,limping
gaol,poky,pokey
garishness,glitz,gaudiness
garrulity,loquaciousness,loquacity
genitals,genitalia,genital organ
genius,brilliance,ace
get,contract,take
getting,let,have
getting,get,find
getting,amaze,dumbfound
getting,sustain,have
ghost,spectre,ghostwriter
gibbosity,extrusion,excrescence
gibbousness,bump,hump
gismo,thingumajig,thingmajig
git,dirty dog,rat
glasses,shabu,trash
gliding,sailplaning,soaring
gluiness,tackiness,ropiness
goalkeeper,goalie,goaltender
godsend,manna from heaven,windfall
going-over,earful,bawling out
goldbricking,gyp,gip
goldilocks,goldilocks aster,aster linosyris
goodby,arrivederci,auf wiedersehen
goon,lump,gawk
gossip,causerie,comment
gouge,squeeze,rack
gouge,rack,wring
governed,regularize,regularise
government,authorities,regime
grading,marking,scoring
graft,transplant,bribery
graining,grain,granulate
grampus,orcinus orca,grampus griseus
graphics,artwork,art
grapple,contend,deal
grasp,clasp,clench
grasp,clutch,clutches
gravel,nark,nettle
graver,graving tool,pointel
gravure,intaglio printing,intaglio
grayback,limnodromus griseus,knot
grayback,knot,greyback
grazing,graze,shaving
greenweed,dyer's-broom,dyeweed
grind,bray,comminute
grinding,labor,labour
grizzle,yammer,yawp
group,chemical group,mathematical group
growth,growing,maturation
grump,crank,churl
guarantee,ensure,insure
guessing,imagine,reckon
gumminess,cohesiveness,glueyness
gumminess,glueyness,gluiness
gunman,triggerman,hit man
gunman,shooter,gun
hackmatack,tacamahac,populus balsamifera
hail,herald,come
hammerhead,dunderhead,numskull
hamming,overact,ham it up
handle,cover,treat
handlock,cuff,manacle
hanging,attend,hang
happening,bump,encounter
harbinger,foretell,herald
haste,hurriedness,precipitation
hastiness,hurriedness,precipitation
head,guide,channelize
heartleaf,asarum shuttleworthii,heart-leaf
hearts,philia,heart
heating,heat,inflame
heave,heft up,pant
heave,buckle,warp
heinousness,barbarity,barbarousness
helmetflower,skullcap,helmet orchid
helmetflower,helmet orchid,monkshood
help,assistant,helper
help,assistance,avail
hermaphroditism,androgyny,bisexuality
heroism,valour,valorousness
high-up,very important person,vip
highlighting,highlight,spotlight
hilarity,mirth,mirthfulness
hindquarters,tail end,tooshie
hindquarters,derriere,fanny
hint,lead,steer
hinterland,backwoods,back country
hire,charter,engage
hitch,tour of duty,duty tour
hitch,stoppage,hang-up
hitch,gimp,hobble
hitch,hitchhike,thumb
hitting,slay,hit
hoard,stash,cache
hodgepodge,patchwork,jumble
hold,clutches,grasp
holding,take hold,hold
holding,give,have
holler,hollo,holloa
holler,cry,call
holler,scream,hollo
honk,cat,be sick
honours,honour,laurels
hood,strong-armer,cap
hoodlum,tough,toughie
hoof,foot,leg it
hoofing,foot,leg it
horse,sawbuck,buck
hostelry,lodge,auberge
hostilities,hostility,enmity
hotchpotch,farrago,ragbag
huisache,sweet acacia,scented wattle
hullabaloo,turmoil,upheaval
humor,humour,witticism
hundred-percenter,jingoist,jingo
hurting,smart,hurt
hush,quiet,quiesce
hushing,hiss,hissing
hydroxybenzene,phenol,oxybenzene
hyperlipaemia,lipoidaemia,hyperlipemia
ibuprofen,isobutylphenyl propionic acid,advil
ill-usage,ill-treatment,abuse
imaging,visualize,visualise
impendence,imminentness,impendency
impendency,imminency,imminentness
implant,embed,imbed
imposter,pseudo,pseud
impress,affect,move
impressiveness,magnificence,richness
imprisonment,incarceration,immurement
impudence,insolence,cheekiness
inclemency,rigorousness,rigourousness
inclemency,hardness,stiffness
inconstancy,faithlessness,falseness
inconvenience,discommode,incommode
individuation,individualisation,individuality
indorsement,endorsement,warrant
indorser,subscriber,endorser
indweller,inhabitant,habitant
inebriant,alcoholic drink,alcoholic beverage
infringement,misdemeanor,misdemeanour
ingroup,clique,coterie
initiation,induction,installation
innocence,purity,pureness
innovation,design,initiation
insensibility,callousness,callosity
insert,put in,introduce
insipidity,dreariness,insipidness
insipidness,insipidity,blandness
installing,install,instal
instalment,installation,installing
instilling,infuse,instill
institution,introduction,instauration
insult,vilification,affront
insurrectionist,freedom fighter,rebel
integrating,integrate,mix
interdict,prohibit,proscribe
interruption,disruption,gap
inwardness,nub,pith
issuing,come forth,go forth
issuing,go forth,egress
jab,jabbing,poke
jabiru,xenorhyncus asiaticus,saddlebill
jack-o-lantern,jack-o-lantern fungus,jack-a-lantern
jaguar,panthera onca,felis onca
jailbreak,prisonbreak,prison-breaking
jamming,wad,obstruct
jaw,rebuke,rag
jazz,eff,hump
jetty,groin,groyne
jewbush,jew-bush,jew bush
jigaboo,spade,coon
jogging,jog,square up
jointure,uniting,conjugation
joke,gag,laugh
journeyman,craftsman,artisan
jujube,ziziphus jujuba,chinese date
juke,jook,juke joint
jumping,pass over,skip
junket,jaunt,outing
kabala,kabala,cabbalah
kabala,cabala,qabbalah
kalian,calean,water pipe
kapok,white silk-cotton tree,bombay ceiba
katharsis,catharsis,purgation
keep,maintain,hold
keeping,keep,maintain
keeping,maintain,keep
keeping,keep,keep open
keeping,preserve,keep
kernel,meat,substance
ketembilla,ceylon gooseberry,dovyalis hebecarpa
kettledrum,kettle,tympanum
khalif,calif,kaliph
kick,sound off,quetch
killjoy,wet blanket,party pooper
kilometer,km,klick
kinesthesia,kinaesthesis,kinaesthesia
kingpin,kingbolt,swivel pin
know,experience,live
know,love,make out
knucklehead,numskull,blockhead
kowtow,kotow,suck up
labor,travail,childbed
labor,moil,labour
laborer,manual laborer,labourer
lachrymation,lacrimation,tearing
lacing,intertwine,twine
lactoflavin,ovoflavin,hepatoflavin
lading,lade,laden
lady's-eardrop,ladies'-eardrop,lady's-eardrops
lag,meantime,meanwhile
lagging,jail,jug
lagging,remand,lag
lansa,lansat,lanset
lapse,recidivate,regress
lapsing,go by,slide by
largesse,magnanimity,openhandedness
lather,flog,welt
lattice,latticework,fretwork
laugher,blowout,romp
launch,plunge,set in motion
lavatory,lav,can
lay-by,pull-off,rest area
